Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Josh Jackson (16439787),Josh Jackson,16439787,SG/SF/F/G/UTIL,5900,DET@MEM 02/19/2021 08:00PM ET,DET,23.94
PF/C,Darius Bazley (16439889),Darius Bazley,16439889,PF/C/F/UTIL,5900,OKC@MIL 02/19/2021 08:00PM ET,OKC,26.74
SF/PF,Saddiq Bey (16439880),Saddiq Bey,16439880,SF/PF/F/UTIL,5600,DET@MEM 02/19/2021 08:00PM ET,DET,17.11
PF/C,Brandon Clarke (16439768),Brandon Clarke,16439768,PF/C/F/UTIL,5500,DET@MEM 02/19/2021 08:00PM ET,MEM,26.39
SG,Dillon Brooks (16439752),Dillon Brooks,16439752,SG/G/UTIL,5400,DET@MEM 02/19/2021 08:00PM ET,MEM,27
PG/SG,Donte DiVincenzo (16439764),Donte DiVincenzo,16439764,PG/SG/G/UTIL,5300,OKC@MIL 02/19/2021 08:00PM ET,MIL,23.12
SG/SF,Luguentz Dort (16439873),Luguentz Dort,16439873,SG/SF/F/G/UTIL,5300,OKC@MIL 02/19/2021 08:00PM ET,OKC,21.58
PF/C,Bobby Portis (16439683),Bobby Portis,16439683,PF/C/F/UTIL,5200,OKC@MIL 02/19/2021 08:00PM ET,MIL,25.03
C,Blake Griffin (16439597),Blake Griffin,16439597,C/UTIL,5000,DET@MEM 02/19/2021 08:00PM ET,DET,26.38
PG/SG,Eric Bledsoe (16439611),Eric Bledsoe,16439611,PG/SG/G/UTIL,5000,PHO@NO 02/19/2021 08:00PM ET,NO,24.8
SG/SF,Grayson Allen (16439699),Grayson Allen,16439699,SG/SF/F/G/UTIL,4900,DET@MEM 02/19/2021 08:00PM ET,MEM,20.01
SF/PF,Kenrich Williams (16439726),Kenrich Williams,16439726,SF/PF/F/UTIL,4900,OKC@MIL 02/19/2021 08:00PM ET,OKC,14.77
PF/C,Isaiah Roby (16439797),Isaiah Roby,16439797,PF/C/F/UTIL,4800,OKC@MIL 02/19/2021 08:00PM ET,OKC,19.84
PF,Jae Crowder (16439631),Jae Crowder,16439631,PF/F/UTIL,4800,PHO@NO 02/19/2021 08:00PM ET,PHO,23.01
C,Steven Adams (16439653),Steven Adams,16439653,C/UTIL,4800,PHO@NO 02/19/2021 08:00PM ET,NO,25.01
PG/SG,De'Anthony Melton (16439804),De'Anthony Melton,16439804,PG/SG/G/UTIL,4700,DET@MEM 02/19/2021 08:00PM ET,MEM,22.42
PG,Theo Maledon (16439908),Theo Maledon,16439908,PG/G/UTIL,4700,OKC@MIL 02/19/2021 08:00PM ET,OKC,17.33
SG/SF,Justin Jackson (16439714),Justin Jackson,16439714,SG/SF/F/G/UTIL,4600,OKC@MIL 02/19/2021 08:00PM ET,OKC,14.54
SF,Trevor Ariza (16439575),Trevor Ariza,16439575,SF/F/UTIL,4500,OKC@MIL 02/19/2021 08:00PM ET,OKC,0
PF/C,Frank Kaminsky (16439646),Frank Kaminsky,16439646,PF/C/F/UTIL,4500,PHO@NO 02/19/2021 08:00PM ET,PHO,16.81
SF,Josh Hart (16439670),Josh Hart,16439670,SF/F/UTIL,4400,PHO@NO 02/19/2021 08:00PM ET,NO,23.85
PG/SG,George Hill (16439578),George Hill,16439578,PG/SG/G/UTIL,4200,OKC@MIL 02/19/2021 08:00PM ET,OKC,21.34
C,Brook Lopez (16439590),Brook Lopez,16439590,C/UTIL,4200,OKC@MIL 02/19/2021 08:00PM ET,MIL,22.09
SF,Pat Connaughton (16439643),Pat Connaughton,16439643,SF/F/UTIL,4100,OKC@MIL 02/19/2021 08:00PM ET,MIL,15.64
